19, 23, 266, 61, "EyeTrackUX"
20, 69, 45, 76, "Tobii"
51, 69, 68, 78, "Eye"
73, 69, 118, 78, "Tracking"
124, 68, 185, 76, "Conference"
190, 71, 202, 76, "on"
208, 69, 231, 76, "User"
237, 69, 296, 78, "Experience"
21, 84, 71, 94, "Leuven,"
79, 84, 137, 95, "Belgium,"
143, 84, 173, 92, "June"
179, 84, 198, 92, "2-3"
205, 84, 235, 92, "2010"
301, 8, 314, 15, "OF"
320, 8, 340, 15, "THE"
345, 8, 376, 15, "WEEK"
379, 35, 408, 46, "placed"
392, 48, 413, 56, "Flash"
491, 67, 515, 75, "Friend"
485, 79, 513, 89, "player"
472, 92, 495, 102, "game"
498, 91, 515, 100, "and"
552, 12, 598, 24, "GAME"
